RiverMile,Lat,Long
-10.23,36.8855,-111.5288
-10.22,36.8854,-111.5287
-10.21,36.8853,-111.5285
-10.2,36.8852,-111.5284
-10.19,36.8852,-111.5282
-10.18,36.8851,-111.5281
-10.17,36.8851,-111.5279
-10.16,36.885,-111.5277
-10.15,36.885,-111.5275
-10.14,36.885,-111.5274
-10.13,36.8849,-111.5272
-10.12,36.8849,-111.527
-10.11,36.8849,-111.5268
-10.1,36.8849,-111.5266
-10.09,36.8849,-111.5265
-10.08,36.8849,-111.5263
-10.07,36.8848,-111.5261
-10.06,36.8848,-111.5259
-10.05,36.8848,-111.5257
-10.04,36.8848,-111.5256
-10.03,36.8849,-111.5254
-10.02,36.8849,-111.5252
-10.01,36.885,-111.5251
-10,36.885,-111.5249
-9.99,36.8851,-111.5247
-9.98,36.8851,-111.5246
-9.97,36.8852,-111.5244
-9.96,36.8852,-111.5242
-9.95,36.8852,-111.524
-9.94,36.8852,-111.5238
-9.93,36.8852,-111.5237
-9.92,36.8852,-111.5235
-9.91,36.8852,-111.5233
-9.9,36.8852,-111.5231
-9.89,36.8852,-111.5229
-9.88,36.8852,-111.5228
-9.87,36.8852,-111.5226
-9.86,36.8852,-111.5224
-9.85,36.8852,-111.5222
-9.84,36.8852,-111.522
-9.83,36.8852,-111.5219
-9.82,36.8852,-111.5217
-9.81,36.8852,-111.5215
-9.8,36.8852,-111.5213
-9.79,36.8852,-111.5211
-9.78,36.8852,-111.521
-9.77,36.8852,-111.5208
-9.76,36.8852,-111.5206
-9.75,36.8851,-111.5204
-9.74,36.8851,-111.5202
-9.73,36.8851,-111.5201
-9.72,36.885,-111.5199
-9.71,36.885,-111.5197
-9.7,36.8849,-111.5196
-9.69,36.8849,-111.5194
-9.68,36.8848,-111.5192
-9.67,36.8848,-111.519
-9.66,36.8847,-111.5189
-9.65,36.8847,-111.5187
-9.64,36.8846,-111.5185
-9.63,36.8846,-111.5184
-9.62,36.8845,-111.5182
-9.61,36.8844,-111.5181
-9.6,36.8843,-111.5179
-9.59,36.8843,-111.5178
-9.58,36.8842,-111.5176
-9.57,36.8841,-111.5175
-9.56,36.884,-111.5173
-9.55,36.8839,-111.5172
-9.54,36.8838,-111.5171
-9.53,36.8837,-111.5169
-9.52,36.8836,-111.5168
-9.51,36.8835,-111.5166
-9.5,36.8835,-111.5165
-9.49,36.8834,-111.5163
-9.48,36.8833,-111.5162
-9.47,36.8831,-111.5161
-9.46,36.883,-111.516
-9.45,36.8829,-111.5159
-9.44,36.8828,-111.5157
-9.43,36.8827,-111.5156
-9.42,36.8826,-111.5155
-9.41,36.8825,-111.5154
-9.4,36.8824,-111.5153
-9.39,36.8823,-111.5151
-9.38,36.8822,-111.515
-9.37,36.8821,-111.5149
-9.36,36.882,-111.5148
-9.35,36.8819,-111.5146
-9.34,36.8818,-111.5145
-9.33,36.8816,-111.5144
-9.32,36.8815,-111.5143
-9.31,36.8814,-111.5142
-9.3,36.8813,-111.5141
-9.29,36.8811,-111.5141
-9.28,36.881,-111.514
-9.27,36.8809,-111.514
-9.26,36.8807,-111.514
-9.25,36.8806,-111.514
-9.24,36.8804,-111.514
-9.23,36.8803,-111.514
-9.22,36.8801,-111.514
-9.21,36.88,-111.5141
-9.2,36.8798,-111.5141
-9.19,36.8797,-111.5142
-9.18,36.8796,-111.5142
-9.17,36.8794,-111.5143
-9.16,36.8793,-111.5144
-9.15,36.8792,-111.5144
-9.14,36.8791,-111.5146
-9.13,36.879,-111.5147
-9.12,36.8789,-111.5148
-9.11,36.8787,-111.5149
-9.1,36.8786,-111.515
-9.09,36.8785,-111.5152
-9.08,36.8784,-111.5153
-9.07,36.8783,-111.5154
-9.06,36.8782,-111.5156
-9.05,36.8782,-111.5157
-9.04,36.8781,-111.5159
-9.03,36.878,-111.516
-9.02,36.8779,-111.5162
-9.01,36.8779,-111.5163
-9,36.8778,-111.5165
-8.99,36.8778,-111.5167
-8.98,36.8777,-111.5169
-8.97,36.8777,-111.517
-8.96,36.8776,-111.5172
-8.95,36.8776,-111.5174
-8.94,36.8775,-111.5175
-8.93,36.8774,-111.5177
-8.92,36.8774,-111.5178
-8.91,36.8773,-111.518
-8.9,36.8773,-111.5182
-8.89,36.8772,-111.5183
-8.88,36.8771,-111.5185
-8.87,36.8771,-111.5187
-8.86,36.877,-111.5188
-8.85,36.877,-111.519
-8.84,36.8769,-111.5192
-8.83,36.8769,-111.5193
-8.82,36.8768,-111.5195
-8.81,36.8768,-111.5197
-8.8,36.8768,-111.5199
-8.79,36.8767,-111.52
-8.78,36.8767,-111.5202
-8.77,36.8767,-111.5204
-8.76,36.8767,-111.5206
-8.75,36.8767,-111.5208
-8.74,36.8767,-111.5209
-8.73,36.8767,-111.5211
-8.72,36.8768,-111.5213
-8.71,36.8768,-111.5215
-8.7,36.8769,-111.5216
-8.69,36.8769,-111.5218
-8.68,36.8769,-111.522
-8.67,36.877,-111.5222
-8.66,36.877,-111.5223
-8.65,36.8771,-111.5225
-8.64,36.8771,-111.5227
-8.63,36.8772,-111.5228
-8.62,36.8772,-111.523
-8.61,36.8773,-111.5232
-8.6,36.8773,-111.5233
-8.59,36.8774,-111.5235
-8.58,36.8774,-111.5237
-8.57,36.8775,-111.5238
-8.56,36.8775,-111.524
-8.55,36.8776,-111.5242
-8.54,36.8776,-111.5244
-8.53,36.8777,-111.5245
-8.52,36.8777,-111.5247
-8.51,36.8778,-111.5249
-8.5,36.8779,-111.525
-8.49,36.8779,-111.5252
-8.48,36.878,-111.5254
-8.47,36.878,-111.5255
-8.46,36.8781,-111.5257
-8.45,36.8781,-111.5259
-8.44,36.8782,-111.526
-8.43,36.8783,-111.5262
-8.42,36.8783,-111.5264
-8.41,36.8784,-111.5265
-8.4,36.8784,-111.5267
-8.39,36.8785,-111.5268
-8.38,36.8785,-111.527
-8.37,36.8786,-111.5272
-8.36,36.8787,-111.5273
-8.35,36.8787,-111.5275
-8.34,36.8788,-111.5277
-8.33,36.8789,-111.5278
-8.32,36.8789,-111.528
-8.31,36.879,-111.5281
-8.3,36.8791,-111.5283
-8.29,36.8791,-111.5285
-8.28,36.8792,-111.5286
-8.27,36.8792,-111.5288
-8.26,36.8793,-111.529
-8.25,36.8793,-111.5292
-8.24,36.8793,-111.5293
-8.23,36.8793,-111.5295
-8.22,36.8794,-111.5297
-8.21,36.8794,-111.5299
-8.2,36.8794,-111.53
-8.19,36.8794,-111.5302
-8.18,36.8795,-111.5304
-8.17,36.8795,-111.5306
-8.16,36.8795,-111.5308
-8.15,36.8795,-111.5309
-8.14,36.8795,-111.5311
-8.13,36.8795,-111.5313
-8.12,36.8795,-111.5315
-8.11,36.8795,-111.5317
-8.1,36.8795,-111.5318
-8.09,36.8795,-111.532
-8.08,36.8795,-111.5322
-8.07,36.8796,-111.5324
-8.06,36.8796,-111.5325
-8.05,36.8797,-111.5327
-8.04,36.8797,-111.5329
-8.03,36.8797,-111.5331
-8.02,36.8797,-111.5332
-8.01,36.8798,-111.5334
-8,36.8798,-111.5336
-7.99,36.8798,-111.5338
-7.98,36.8798,-111.534
-7.97,36.8798,-111.5341
-7.96,36.8798,-111.5343
-7.95,36.8798,-111.5345
-7.94,36.8797,-111.5347
-7.93,36.8797,-111.5349
-7.92,36.8797,-111.535
-7.91,36.8797,-111.5352
-7.9,36.8797,-111.5354
-7.89,36.8797,-111.5356
-7.88,36.8796,-111.5358
-7.87,36.8796,-111.5359
-7.86,36.8796,-111.5361
